code,name,cause_group,death_circumstance,coronial_investigation_risk,registration_complexity
A05.9,"Bacterial foodborne intoxication, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A06,Amoebiasis,Infectious diseases,Expected medically managed,Low,Standard
A06.0,Acute amoebic dysentery,Infectious diseases,Expected medically managed,Low,Standard
A06.1,Chronic intestinal amoebiasis,Infectious diseases,Expected medically managed,Low,Standard
A06.2,Amoebic nondysenteric colitis,Infectious diseases,Expected medically managed,Low,Standard
A06.3,Amoeboma of intestine,Infectious diseases,Expected medically managed,Low,Standard
A06.4,Amoebic liver abscess,Infectious diseases,Expected medically managed,Low,Standard
A06.5,Amoebic lung abscess,Infectious diseases,Expected medically managed,Low,Standard
A06.6,Amoebic brain abscess,Infectious diseases,Expected medically managed,Low,Standard
A06.7,Cutaneous amoebiasis,Infectious diseases,Expected medically managed,Low,Standard
A06.8,Amoebic infection of other sites,Infectious diseases,Expected medically managed,Low,Standard
A06.9,"Amoebiasis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A07,Other protozoal intestinal diseases,Infectious diseases,Expected medically managed,Low,Standard
A07.0,Balantidiasis,Infectious diseases,Expected medically managed,Low,Standard
A07.1,Giardiasis [lambliasis],Infectious diseases,Expected medically managed,Low,Standard
A07.2,Cryptosporidiosis,Infectious diseases,Expected medically managed,Low,Standard
A07.3,Isosporiasis,Infectious diseases,Expected medically managed,Low,Standard
A07.8,Other specified protozoal intestinal diseases,Infectious diseases,Expected medically managed,Low,Standard
A07.9,"Protozoal intestinal disease, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A08,Viral and other specified intestinal infections,Infectious diseases,Expected medically managed,Low,Standard
A08.0,Rotaviral enteritis,Infectious diseases,Expected medically managed,Low,Standard
A08.1,Acute gastroenteropathy due to Norovirus,Infectious diseases,Expected medically managed,Low,Standard
A08.2,Adenoviral enteritis,Infectious diseases,Expected medically managed,Low,Standard
A08.3,Other viral enteritis,Infectious diseases,Expected medically managed,Low,Standard
A08.4,"Viral intestinal infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A08.5,Other specified intestinal infections,Infectious diseases,Expected medically managed,Low,Standard
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Infectious diseases,Expected medically managed,Low,Standard
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Infectious diseases,Expected medically managed,Low,Standard
A09.9,Gastroenteritis and colitis of unspecified origin,Infectious diseases,Expected medically managed,Low,Standard
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Infectious diseases,Expected medically managed,Low,Standard
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Infectious diseases,Expected medically managed,Low,Standard
A15.1,"Tuberculosis of lung, confirmed by culture only",Infectious diseases,Expected medically managed,Low,Standard
A15.2,"Tuberculosis of lung, confirmed histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.3,"Tuberculosis of lung, confirmed by unspecified means",Infectious diseases,Expected medically managed,Low,Standard
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Infectious diseases,Expected medically managed,Low,Standard
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Infectious diseases,Expected medically managed,Low,Standard
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",Infectious diseases,Expected medically managed,Low,Standard
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",Infectious diseases,Expected medically managed,Low,Standard
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Infectious diseases,Expected medically managed,Low,Standard
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Infectious diseases,Expected medically managed,Low,Standard
A17,Tuberculosis of nervous system,Infectious diseases,Expected medically managed,Low,Standard
A17.0,Tuberculous meningitis,Infectious diseases,Expected medically managed,Low,Standard
A17.1,Meningeal tuberculoma,Infectious diseases,Expected medically managed,Low,Standard
A17.8,Other tuberculosis of nervous system,Infectious diseases,Expected medically managed,Low,Standard
A17.9,"Tuberculosis of nervous system, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A18,Tuberculosis of other organs,Infectious diseases,Expected medically managed,Low,Standard
A18.0,Tuberculosis of bones and joints,Infectious diseases,Expected medically managed,Low,Standard
A18.1,Tuberculosis of genitourinary system,Infectious diseases,Expected medically managed,Low,Standard
A18.2,Tuberculous peripheral lymphadenopathy,Infectious diseases,Expected medically managed,Low,Standard
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",Infectious diseases,Expected medically managed,Low,Standard
A18.4,Tuberculosis of skin and subcutaneous tissue,Infectious diseases,Expected medically managed,Low,Standard
A18.5,Tuberculosis of eye,Infectious diseases,Expected medically managed,Low,Standard
A18.6,Tuberculosis of ear,Infectious diseases,Expected medically managed,Low,Standard
A18.7,Tuberculosis of adrenal glands,Infectious diseases,Expected medically managed,Low,Standard
A18.8,Tuberculosis of other specified organs,Infectious diseases,Expected medically managed,Low,Standard
A19,Miliary tuberculosis,Infectious diseases,Expected medically managed,Low,Standard
A19.0,Acute miliary tuberculosis of a single specified site,Infectious diseases,Expected medically managed,Low,Standard
A19.1,Acute miliary tuberculosis of multiple sites,Infectious diseases,Expected medically managed,Low,Standard
A19.2,"Acute miliary tuberculosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A19.8,Other miliary tuberculosis,Infectious diseases,Expected medically managed,Low,Standard
A19.9,"Miliary tuberculosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A20,Plague,Infectious diseases,Expected medically managed,Low,Standard
A20.0,Bubonic plague,Infectious diseases,Expected medically managed,Low,Standard
A20.1,Cellulocutaneous plague,Infectious diseases,Expected medically managed,Low,Standard
A20.2,Pneumonic plague,Infectious diseases,Expected medically managed,Low,Standard
A20.3,Plague meningitis,Infectious diseases,Expected medically managed,Low,Standard
A20.7,Septicaemic plague,Infectious diseases,Expected medically managed,Low,Standard
A20.8,Other forms of plague,Infectious diseases,Expected medically managed,Low,Standard
A20.9,"Plague, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A21,Tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.0,Ulceroglandular tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.1,Oculoglandular tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.2,Pulmonary tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.3,Gastrointestinal tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.7,Generalized tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.8,Other forms of tularaemia,Infectious diseases,Expected medically managed,Low,Standard
A21.9,"Tularaemia, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A22,Anthrax,Infectious diseases,Expected medically managed,Low,Standard
A22.0,Cutaneous anthrax,Infectious diseases,Expected medically managed,Low,Standard
A22.1,Pulmonary anthrax,Infectious diseases,Expected medically managed,Low,Standard
A22.2,Gastrointestinal anthrax,Infectious diseases,Expected medically managed,Low,Standard
A22.7,Anthrax sepsis,Infectious diseases,Expected medically managed,Low,Standard
A22.8,Other forms of anthrax,Infectious diseases,Expected medically managed,Low,Standard
A22.9,"Anthrax, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A23,Brucellosis,Infectious diseases,Expected medically managed,Low,Standard
A23.0,Brucellosis due to Brucella melitensis,Infectious diseases,Expected medically managed,Low,Standard
A23.1,Brucellosis due to Brucella abortus,Infectious diseases,Expected medically managed,Low,Standard
A23.2,Brucellosis due to Brucella suis,Infectious diseases,Expected medically managed,Low,Standard
A23.3,Brucellosis due to Brucella canis,Infectious diseases,Expected medically managed,Low,Standard
A23.8,Other brucellosis,Infectious diseases,Expected medically managed,Low,Standard
A23.9,"Brucellosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A24,Glanders and melioidosis,Infectious diseases,Expected medically managed,Low,Standard
A24.0,Glanders,Infectious diseases,Expected medically managed,Low,Standard
A24.1,Acute and fulminating melioidosis,Infectious diseases,Expected medically managed,Low,Standard
A24.2,Subacute and chronic melioidosis,Infectious diseases,Expected medically managed,Low,Standard
A24.3,Other melioidosis,Infectious diseases,Expected medically managed,Low,Standard
A24.4,"Melioidosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A25,Rat-bite fevers,Infectious diseases,Expected medically managed,Low,Standard
A25.0,Spirillosis,Infectious diseases,Expected medically managed,Low,Standard
A25.1,Streptobacillosis,Infectious diseases,Expected medically managed,Low,Standard
A25.9,"Rat-bite fever, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A26,Erysipeloid,Infectious diseases,Expected medically managed,Low,Standard
A26.0,Cutaneous erysipeloid,Infectious diseases,Expected medically managed,Low,Standard
A26.7,Erysipelothrix sepsis,Infectious diseases,Expected medically managed,Low,Standard
A26.8,Other forms of erysipeloid,Infectious diseases,Expected medically managed,Low,Standard
A26.9,"Erysipeloid, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A27,Leptospirosis,Infectious diseases,Expected medically managed,Low,Standard
A27.0,Leptospirosis icterohaemorrhagica,Infectious diseases,Expected medically managed,Low,Standard
A27.8,Other forms of leptospirosis,Infectious diseases,Expected medically managed,Low,Standard
A27.9,"Leptospirosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Infectious diseases,Expected medically managed,Low,Standard
A28.0,Pasteurellosis,Infectious diseases,Expected medically managed,Low,Standard
A28.1,Cat-scratch disease,Infectious diseases,Expected medically managed,Low,Standard
A28.2,Extraintestinal yersiniosis,Infectious diseases,Expected medically managed,Low,Standard
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",Infectious diseases,Expected medically managed,Low,Standard
A28.9,"Zoonotic bacterial disease, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A30,Leprosy [Hansen disease],Infectious diseases,Expected medically managed,Low,Standard
A30.0,Indeterminate leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.1,Tuberculoid leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.2,Borderline tuberculoid leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.3,Borderline leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.4,Borderline lepromatous leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.5,Lepromatous leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.8,Other forms of leprosy,Infectious diseases,Expected medically managed,Low,Standard
A30.9,"Leprosy, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A31,Infection due to other mycobacteria,Infectious diseases,Expected medically managed,Low,Standard
A31.0,Pulmonary mycobacterial infection,Infectious diseases,Expected medically managed,Low,Standard
A31.1,Cutaneous mycobacterial infection,Infectious diseases,Expected medically managed,Low,Standard
A31.8,Other mycobacterial infections,Infectious diseases,Expected medically managed,Low,Standard
A31.9,"Mycobacterial infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A32,Listeriosis,Infectious diseases,Expected medically managed,Low,Standard
A32.0,Cutaneous listeriosis,Infectious diseases,Expected medically managed,Low,Standard
A32.1,Listerial meningitis and meningoencephalitis,Infectious diseases,Expected medically managed,Low,Standard
A32.7,Listerial sepsis,Infectious diseases,Expected medically managed,Low,Standard
A32.8,Other forms of listeriosis,Infectious diseases,Expected medically managed,Low,Standard
A32.9,"Listeriosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A33,Tetanus neonatorum,Infectious diseases,Expected medically managed,Low,Standard
A34,Obstetrical tetanus,Infectious diseases,Expected medically managed,Low,Standard
A35,Other tetanus,Infectious diseases,Expected medically managed,Low,Standard
A36,Diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.0,Pharyngeal diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.1,Nasopharyngeal diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.2,Laryngeal diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.3,Cutaneous diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.8,Other diphtheria,Infectious diseases,Expected medically managed,Low,Standard
A36.9,"Diphtheria, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A37,Whooping cough,Infectious diseases,Expected medically managed,Low,Standard
A37.0,Whooping cough due to Bordetella pertussis,Infectious diseases,Expected medically managed,Low,Standard
A37.1,Whooping cough due to Bordetella parapertussis,Infectious diseases,Expected medically managed,Low,Standard
A37.8,Whooping cough due to other Bordetella species,Infectious diseases,Expected medically managed,Low,Standard
A37.9,"Whooping cough, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A38,Scarlet fever,Infectious diseases,Expected medically managed,Low,Standard
A39,Meningococcal infection,Infectious diseases,Sudden natural,Possible,Moderate
A39.0,Meningococcal meningitis,Infectious diseases,Sudden natural,Possible,Moderate
A39.1,Waterhouse-Friderichsen syndrome,Infectious diseases,Sudden natural,Possible,Moderate
A39.2,Acute meningococcaemia,Infectious diseases,Sudden natural,Possible,Moderate
A39.3,Chronic meningococcaemia,Infectious diseases,Sudden natural,Possible,Moderate
A39.4,"Meningococcaemia, unspecified",Infectious diseases,Sudden natural,Possible,Moderate
A39.5,Meningococcal heart disease,Infectious diseases,Sudden natural,Possible,Moderate
A39.8,Other meningococcal infections,Infectious diseases,Sudden natural,Possible,Moderate
A39.9,"Meningococcal infection, unspecified",Infectious diseases,Sudden natural,Possible,Moderate
A40,Streptococcal sepsis,Infectious diseases,Sudden natural,Possible,Moderate
A40.0,"Sepsis due to streptococcus, group A",Infectious diseases,Sudden natural,Possible,Moderate
A40.1,"Sepsis due to streptococcus, group B",Infectious diseases,Sudden natural,Possible,Moderate
A40.2,"Sepsis due to streptococcus, group D and enterococcus",Infectious diseases,Sudden natural,Possible,Moderate
A40.3,Sepsis due to Streptococcus pneumoniae,Infectious diseases,Sudden natural,Possible,Moderate
A40.8,Other streptococcal sepsis,Infectious diseases,Sudden natural,Possible,Moderate
A40.9,"Streptococcal sepsis, unspecified",Infectious diseases,Sudden natural,Possible,Moderate
A41,Other sepsis,Infectious diseases,Sudden natural,Possible,Moderate
A41.0,Sepsis due to Staphylococcus aureus,Infectious diseases,Sudden natural,Possible,Moderate
A41.1,Sepsis due to other specified staphylococcus,Infectious diseases,Sudden natural,Possible,Moderate
A41.2,Sepsis due to unspecified staphylococcus,Infectious diseases,Sudden natural,Possible,Moderate
A41.3,Sepsis due to Haemophilus influenzae,Infectious diseases,Sudden natural,Possible,Moderate
A41.4,Sepsis due to anaerobes,Infectious diseases,Sudden natural,Possible,Moderate
A41.5,Sepsis due to other Gram-negative organisms,Infectious diseases,Sudden natural,Possible,Moderate
A41.8,Other specified sepsis,Infectious diseases,Sudden natural,Possible,Moderate
A41.9,"Sepsis, unspecified",Infectious diseases,Sudden natural,Possible,Moderate
A42,Actinomycosis,Infectious diseases,Expected medically managed,Low,Standard
A42.0,Pulmonary actinomycosis,Infectious diseases,Expected medically managed,Low,Standard
A42.1,Abdominal actinomycosis,Infectious diseases,Expected medically managed,Low,Standard
A42.2,Cervicofacial actinomycosis,Infectious diseases,Expected medically managed,Low,Standard
A42.7,Actinomycotic sepsis,Infectious diseases,Expected medically managed,Low,Standard
A42.8,Other forms of actinomycosis,Infectious diseases,Expected medically managed,Low,Standard
A42.9,"Actinomycosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A43,Nocardiosis,Infectious diseases,Expected medically managed,Low,Standard
A43.0,Pulmonary nocardiosis,Infectious diseases,Expected medically managed,Low,Standard
A43.1,Cutaneous nocardiosis,Infectious diseases,Expected medically managed,Low,Standard
A43.8,Other forms of nocardiosis,Infectious diseases,Expected medically managed,Low,Standard
A43.9,"Nocardiosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A44,Bartonellosis,Infectious diseases,Expected medically managed,Low,Standard
A44.0,Systemic bartonellosis,Infectious diseases,Expected medically managed,Low,Standard
A44.1,Cutaneous and mucocutaneous bartonellosis,Infectious diseases,Expected medically managed,Low,Standard
A44.8,Other forms of bartonellosis,Infectious diseases,Expected medically managed,Low,Standard
A44.9,"Bartonellosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A46,Erysipelas,Infectious diseases,Expected medically managed,Low,Standard
A48,"Other bacterial diseases, not elsewhere classified",Infectious diseases,Expected medically managed,Low,Standard
A48.0,Gas gangrene,Infectious diseases,Expected medically managed,Low,Standard
A48.1,Legionnaires disease,Infectious diseases,Expected medically managed,Low,Standard
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],Infectious diseases,Expected medically managed,Low,Standard
A48.3,Toxic shock syndrome,Infectious diseases,Expected medically managed,Low,Standard
A48.4,Brazilian purpuric fever,Infectious diseases,Expected medically managed,Low,Standard
A48.8,Other specified bacterial diseases,Infectious diseases,Expected medically managed,Low,Standard
A49,Bacterial infection of unspecified site,Infectious diseases,Expected medically managed,Low,Standard
A49.0,"Staphylococcal infection, unspecified site",Infectious diseases,Expected medically managed,Low,Standard
A49.1,"Streptococcal and enterococcal infection, unspecified site",Infectious diseases,Expected medically managed,Low,Standard
A49.2,"Haemophilus influenzae infection, unspecified site",Infectious diseases,Expected medically managed,Low,Standard
A49.3,"Mycoplasma infection, unspecified site",Infectious diseases,Expected medically managed,Low,Standard
A49.8,Other bacterial infections of unspecified site,Infectious diseases,Expected medically managed,Low,Standard
A49.9,"Bacterial infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A50,Congenital syphilis,Infectious diseases,Expected medically managed,Low,Standard
A50.0,"Early congenital syphilis, symptomatic",Infectious diseases,Expected medically managed,Low,Standard
A50.1,"Early congenital syphilis, latent",Infectious diseases,Expected medically managed,Low,Standard
A50.2,"Early congenital syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A50.3,Late congenital syphilitic oculopathy,Infectious diseases,Expected medically managed,Low,Standard
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],Infectious diseases,Expected medically managed,Low,Standard
A50.5,"Other late congenital syphilis, symptomatic",Infectious diseases,Expected medically managed,Low,Standard
A50.6,"Late congenital syphilis, latent",Infectious diseases,Expected medically managed,Low,Standard
A50.7,"Late congenital syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A50.9,"Congenital syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A51,Early syphilis,Infectious diseases,Expected medically managed,Low,Standard
A51.0,Primary genital syphilis,Infectious diseases,Expected medically managed,Low,Standard
A51.1,Primary anal syphilis,Infectious diseases,Expected medically managed,Low,Standard
A51.2,Primary syphilis of other sites,Infectious diseases,Expected medically managed,Low,Standard
A51.3,Secondary syphilis of skin and mucous membranes,Infectious diseases,Expected medically managed,Low,Standard
A51.4,Other secondary syphilis,Infectious diseases,Expected medically managed,Low,Standard
A51.5,"Early syphilis, latent",Infectious diseases,Expected medically managed,Low,Standard
A51.9,"Early syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A52,Late syphilis,Infectious diseases,Expected medically managed,Low,Standard
A52.0,Cardiovascular syphilis,Infectious diseases,Expected medically managed,Low,Standard
A52.1,Symptomatic neurosyphilis,Infectious diseases,Expected medically managed,Low,Standard
A52.2,Asymptomatic neurosyphilis,Infectious diseases,Expected medically managed,Low,Standard
A52.3,"Neurosyphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A52.7,Other symptomatic late syphilis,Infectious diseases,Expected medically managed,Low,Standard
A52.8,"Late syphilis, latent",Infectious diseases,Expected medically managed,Low,Standard
A52.9,"Late syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A53,Other and unspecified syphilis,Infectious diseases,Expected medically managed,Low,Standard
A53.0,"Latent syphilis, unspecified as early or late",Infectious diseases,Expected medically managed,Low,Standard
A53.9,"Syphilis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A54,Gonococcal infection,Infectious diseases,Expected medically managed,Low,Standard
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,Infectious diseases,Expected medically managed,Low,Standard
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Infectious diseases,Expected medically managed,Low,Standard
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,Infectious diseases,Expected medically managed,Low,Standard
A54.3,Gonococcal infection of eye,Infectious diseases,Expected medically managed,Low,Standard
A54.4,Gonococcal infection of musculoskeletal system,Infectious diseases,Expected medically managed,Low,Standard
A54.5,Gonococcal pharyngitis,Infectious diseases,Expected medically managed,Low,Standard
A54.6,Gonococcal infection of anus and rectum,Infectious diseases,Expected medically managed,Low,Standard
A54.8,Other gonococcal infections,Infectious diseases,Expected medically managed,Low,Standard
A54.9,"Gonococcal infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A55,Chlamydial lymphogranuloma (venereum),Infectious diseases,Expected medically managed,Low,Standard
A56,Other sexually transmitted chlamydial diseases,Infectious diseases,Expected medically managed,Low,Standard
A56.0,Chlamydial infection of lower genitourinary tract,Infectious diseases,Expected medically managed,Low,Standard
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,Infectious diseases,Expected medically managed,Low,Standard
A56.2,"Chlamydial infection of genitourinary tract, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A56.3,Chlamydial infection of anus and rectum,Infectious diseases,Expected medically managed,Low,Standard
A56.4,Chlamydial infection of pharynx,Infectious diseases,Expected medically managed,Low,Standard
A56.8,Sexually transmitted chlamydial infection of other sites,Infectious diseases,Expected medically managed,Low,Standard
A57,Chancroid,Infectious diseases,Expected medically managed,Low,Standard
A58,Granuloma inguinale,Infectious diseases,Expected medically managed,Low,Standard
A59,Trichomoniasis,Infectious diseases,Expected medically managed,Low,Standard
A59.0,Urogenital trichomoniasis,Infectious diseases,Expected medically managed,Low,Standard
A59.8,Trichomoniasis of other sites,Infectious diseases,Expected medically managed,Low,Standard
A59.9,"Trichomoniasis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A60,Anogenital herpesviral [herpes simplex] infection,Infectious diseases,Expected medically managed,Low,Standard
A60.0,Herpesviral infection of genitalia and urogenital tract,Infectious diseases,Expected medically managed,Low,Standard
A60.1,Herpesviral infection of perianal skin and rectum,Infectious diseases,Expected medically managed,Low,Standard
A60.9,"Anogenital herpesviral infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious diseases,Expected medically managed,Low,Standard
A63.0,Anogenital (venereal) warts,Infectious diseases,Expected medically managed,Low,Standard
A63.8,Other specified predominantly sexually transmitted diseases,Infectious diseases,Expected medically managed,Low,Standard
A64,Unspecified sexually transmitted disease,Infectious diseases,Expected medically managed,Low,Standard
A65,Nonvenereal syphilis,Infectious diseases,Expected medically managed,Low,Standard
A66,Yaws,Infectious diseases,Expected medically managed,Low,Standard
A66.0,Initial lesions of yaws,Infectious diseases,Expected medically managed,Low,Standard
A66.1,Multiple papillomata and wet crab yaws,Infectious diseases,Expected medically managed,Low,Standard
A66.2,Other early skin lesions of yaws,Infectious diseases,Expected medically managed,Low,Standard
